"","player","salary","position","height","weight","G","FG","FGA","FT","FTA","TRB","AST","STL","BLK","TOV","PF","PTS","Team"
"24","Anthony Bennett",3650000,"PF",80,245,7,1,9,7,8,12,0,3,0,4,6,9,"TOR"
"25","Anthony Bennett",947276,"PF",80,245,7,1,9,7,8,12,0,3,0,4,6,9,"TOR"
"26","Anthony Brown",7e+05,"SF",79,210,3,1,2,2,2,0,0,1,0,0,0,5,"LAL"
"27","Anthony Davis",7070730,"PF",82,253,11,92,196,64,85,113,22,12,28,26,31,256,"NOP"
"28","Anthony Morrow",3344000,"SG",77,210,14,29,70,2,2,17,6,10,1,6,12,76,"OKC"
"29","Anthony Tolliver",3e+06,"PF",80,240,13,16,57,5,9,36,9,6,3,3,22,50,"DET"
"30","Archie Goodwin",1160160,"SG",77,200,10,13,29,14,24,20,7,1,1,10,4,42,"PHO"
"31","Aron Baynes",6500000,"C",82,260,14,24,48,11,15,53,6,4,4,10,20,59,"DET"
"32","Arron Afflalo",8e+06,"SG",77,210,7,37,87,3,5,26,15,0,0,7,15,87,"NYK"
"33","Austin Rivers",3100000,"SG",76,200,14,46,109,17,30,24,14,13,3,11,31,119,"LAC"
